Test_Date,Child_ID,Age_cts,Age,Gender,Race,Condition,resp_trial1,resp_trial2,resp_trial3,resp_trial4,resp_trial5,resp_trial6,resp_trial7,resp_trial8,resp_trial9,Sound_familiarization,Practice_drops,Notes,Exclude?,Reason_for_exclusion,heard_all_sounds,described_all_sounds,beep_description,chick_description,boom_description
7/16/21,Plinkokids_20210716_1_online_JO,8.58,8,male,Asian,2,blue,yellow,blue,yellow,blue,green,blue,green,yellow,ok,ok,,no,,yes,yes,beep,chick,boom
7/16/21,Plinkokids_20210716_2_online_JO,8.09,8,Prefer not to answer,Prefer not to answer,2,blue,yellow,green,yellow,blue,green,yellow,yellow,blue,ok,ok,,no,,yes,some,na,crunch,na
7/19/21,Plinkokids_20210719_2_online_JO,8.76,8,male,White,2,yellow,green,blue,green,blue,green,yellow,blue,yellow,ok,ok,sp = special population,no,,yes,some,sound when you stop recording on camera,second choice of operation on a camera,na
7/19/21,Plinkokids_20210719_3_online_JO,6.35,6,male,"Asian, White",2,blue,green,yellow,green,blue,yellow,yellow,blue,yellow,boom x2,ok,sp = special population,no,,yes,yes,beep,chick,wood
7/21/21,Plinkokids_20210721_1_online_JO,5.85,5,female,White,3,yellow,yellow,yellow,yellow,green,yellow,yellow,yellow,blue,ok,ok,,no,,yes,yes,rushing in the air,dropping into the box,landing on stuff
7/21/21,Plinkokids_20210721_2_online_JO,5.88,5,female,"Hispanic/Latinx, Pacific Islander",2,yellow,green,yellow,yellow,blue,yellow,green,blue,blue,ok,ok,,no,,yes,yes,beep,chick,nondescript
7/22/21,Plinkokids_20210722_1_online_JO,7.72,7,male,White,3,blue,blue,green,blue,green,blue,green,yellow,blue,ok,ok,,no,,yes,yes,beep,chick,chick
7/22/21,Plinkokids_20210722_2_online_JO,6.94,6,male,Black/African,1,blue,green,yellow,green,blue,green,yellow,yellow,green,chick X3,1st drop X2,,no,,yes,no,na,na,na
7/23/21,Plinkokids_20210723_1_online_JO,8.1,8,male,White,3,yellow,green,green,blue,green,yellow,green,yellow,blue,ok,ok,,no,,yes,some,beep,na,na
7/26/21,Plinkokids_20210726_1_online_JO,5.36,5,female,"Hispanic/Latinx, White",2,yellow,green,yellow,yellow,blue,yellow,blue,yellow,blue,ok,ok,,no,,yes,yes,beep,nondescript,nondescript
8/5/21,Plinkokids_20210805_1_online_JO,6.23,6,female,White,2,yellow,blue,blue,green,yellow,yellow,green,green,yellow,ok,ok,,no,,yes,yes,beep,sand,nondescript
8/9/21,Plinkokids_20210809_1_online_JO,4.9,4,male,White,2,yellow,green,yellow,yellow,blue,yellow,green,blue,yellow,ok,ok,,no,,yes,yes,a hole,a chicken,sound when dropping inside a big box
8/9/21,Plinkokids_20210809_2_online_JO,4.32,4,female,Asian,3,yellow,yellow,yellow,yellow,green,yellow,blue,green,blue,ok,ok,,no,,yes,yes,said she likes the first sound,said she likes the first sound again,said she likes the first sound again
8/15/21,Plinkokids_20210815_1_online_JO,4.75,4,female,Asian,3,yellow,green,blue,yellow,green,yellow,blue,green,blue,ok,1st drop X3,,yes,failed comprehension check two or more times,yes,some,beep,nondescript,na
8/15/21,Plinkokids_20210815_2_online_JO,4.75,4,female,"Asian, Hispanic/Latinx",3,blue,yellow,green,blue,yellow,green,blue,yellow,green,ok,ok,,no,,yes,yes,beep like a car,scratching,boom
8/27/21,Plinkokids_20210827_1_online_JO,3.7,3,female,White,1,blue,green,yellow,green,blue,yellow,blue,blue,green,ok,ok,,no,,yes,yes,beeping,doesn’t know,beeping again
8/27/21,Plinkokids_20210827_2_online_JO,3.7,3,male,White,2,yellow,yellow,yellow,yellow,yellow,yellow,green,yellow,yellow,ok,"1st drop X2, 2nd drop X2",,yes,failed comprehension check two or more times,yes,yes,beeping,beeping,beeping
8/30/21,Plinkokids_20210830_1_online_JO,3.71,3,male,White,1,blue,green,blue,NA,NA,NA,NA,NA,NA,ok,2nd drop X2,,yes,opted out after 3 trials,yes,no,na,na,na
8/30/21,Plinkokids_20210830_2_online_JO,3.46,3,female,White,2,blue,yellow,green,yellow,blue,yellow,green,yellow,blue,ok,1st drop X2,,no,,yes,yes,"nondescript or ""ball""","nondescript or ""ball""",nondescript
8/30/21,Plinkokids_20210830_3_online_JO,3.87,3,male,White,3,yellow,green,green,green,green,green,yellow,green,yellow,ok,ok,,no,,yes,some,na,"nondescript ""dode""","nondescript ""dode"""
9/1/21,Plinkokids_20210901_1_online_JO,3.63,3,male,Hispanic/Latinx,1,blue,green,yellow,green,green,yellow,blue,green,green,chick X2,ok,had chromebook,no,,yes,no,na,na,na
9/2/21,Plinkokids_20210902_1_online_JO,3.72,3,female,White,2,NA,blue,blue,blue,yellow,green,blue,yellow,green,ok,1st drop X2,"said she doesn't know the first one, even after repeating then asked to move on",yes,,yes,yes,beep,beep,beep
9/3/21,Plinkokids_20210903_1_online_JO,3.47,3,female,White,1,yellow,green,blue,yellow,green,blue,yellow,yellow,yellow,ok,ok,,no,,yes,yes,beep,nondescript,nondescript
9/3/21,Plinkokids_20210903_2_online_JO,3.3,3,female,"Asian, Hispanic/Latinx",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ok,2nd drop X2,,yes,didn’t finish due to technical difficulties - game cut out before we finished practice drops - would be excluded anyway,yes,no,doesn’t know,doesn’t know,doesn’t know
9/6/21,Plinkokids_20210906_1_online_JO,3.91,3,female,White,1,yellow,yellow,blue,green,blue,yellow,blue,yellow,green,ok,ok,,no,,yes,yes,beeping,beeping,hard sound
9/6/21,Plinkokids_20210906_2_online_JO,3.73,3,female,Black/African,2,green,green,yellow,yellow,blue,yellow,green,blue,green,ok,ok,,no,,yes,some,beep,doesn’t know,doesn’t know
9/6/21,Plinkokids_20210906_3_online_JO,3.48,3,male,"Asian, White",3,blue,yellow,green,blue,green,yellow,blue,yellow,blue,ok,ok,,no,,yes,yes,nondescript,nondescript,nondescript
9/6/21,Plinkokids_20210906_4_online_JO,3.12,3,female,"Asian, White",1,blue,green,yellow,green,blue,blue,green,yellow,blue,ok,ok,,no,,yes,yes,beep,doesn’t know,doesn’t know
9/7/21,Plinkokids_20210907_1_online_JO,3.56,3,female,Hispanic/Latinx,3,blue,yellow,green,yellow,yellow,green,blue,yellow,blue,ok,1st drop X2,,no,,yes,no,na,na,na
9/9/21,Plinkokids_20210909_1_online_JO,3.9,3,female,White,2,green,yellow,blue,green,blue,yellow,green,yellow,blue,ok,ok,,no,,yes,yes,beep,chick,nondescript
